kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,RBMAlreadyTrainedModel,0.7325507998466492,0.8000469207763672,0.810745358467102,0.8221381902694702,0.7860625982284546,0.7086302042007446,True,train,MRR
0,,RBMAlreadyTrainedModel,0.25161734223365784,0.1893336921930313,0.14423635601997375,0.20442350208759308,0.24698574841022491,0.26567795872688293,True,test,MRR
1,,RBMAlreadyTrainedModel,0.825867235660553,0.7967568635940552,0.8055941462516785,0.8187798261642456,0.791551947593689,0.7036051750183105,True,train,MRR
1,,RBMAlreadyTrainedModel,0.30877265334129333,0.21568447351455688,0.1991782784461975,0.21698372066020966,0.25650936365127563,0.296548992395401,True,test,MRR
2,,RBMAlreadyTrainedModel,0.7245780229568481,0.786410391330719,0.8020300269126892,0.784684419631958,0.7857605218887329,0.7126594185829163,True,train,MRR
2,,RBMAlreadyTrainedModel,0.25592154264450073,0.17573101818561554,0.16871944069862366,0.21248632669448853,0.24053514003753662,0.3053761422634125,True,test,MRR
3,,RBMAlreadyTrainedModel,0.7673230767250061,0.7799137234687805,0.7986029386520386,0.8112415075302124,0.8273561000823975,0.7090528607368469,True,train,MRR
3,,RBMAlreadyTrainedModel,0.2468033879995346,0.20409341156482697,0.19966448843479156,0.23411503434181213,0.2755003869533539,0.2866434156894684,True,test,MRR
4,,RBMAlreadyTrainedModel,0.7261521816253662,0.7920210361480713,0.8132612705230713,0.8065239191055298,0.8067245483398438,0.7086176872253418,True,train,MRR
4,,RBMAlreadyTrainedModel,0.24252532422542572,0.1979745477437973,0.21370162069797516,0.22908824682235718,0.2857079803943634,0.28947681188583374,True,test,MRR
