kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0, , OPF, 0.9783, 0.9296, 0.944,  0.9691, 0.971,  0.9855, True, train, Accuracy
0, , OPF, 0.3421, 0.1553, 0.1474, 0.1921, 0.3079, 0.4368, True, test, Accuracy
1, , OPF, 0.9809, 0.9322, 0.9454, 0.971,  0.9677, 0.9882, True, train, Accuracy
1, , OPF, 0.2947, 0.1632, 0.1842, 0.2342, 0.3184, 0.4816, True, test, Accuracy
2, , OPF, 0.9796, 0.9368, 0.948,  0.9697, 0.9677, 0.9875, True, train, Accuracy
2, , OPF, 0.3158, 0.1658, 0.1447, 0.1947, 0.3079, 0.4526, True, test, Accuracy
3, , OPF, 0.9803, 0.9302, 0.9427, 0.971,  0.9697, 0.9895, True, train, Accuracy
3, , OPF, 0.3132, 0.1974, 0.1605, 0.2184, 0.2763, 0.4658, True, test, Accuracy
4, , OPF, 0.9822, 0.9342, 0.9447, 0.9724, 0.9684, 0.9882, True, train, Accuracy
4, , OPF, 0.3325, 0.1689, 0.1768, 0.2375, 0.3245, 0.4987, True, test, Accuracy
