,fold,metric,missing,value,y
0,0,Accuracy,set(),0.4064665127020785,0
1,0,Hit@5,set(),0.5681293302540416,0
2,0,MDCG,set(),0.5902989675793177,0
3,0,MAP@5,set(),0.31463193465502926,0
4,0,Accuracy,set(),0.16166281755196305,1
5,0,Hit@5,set(),0.3672055427251732,1
6,0,MDCG,set(),0.40555621556326255,1
7,0,MAP@5,set(),0.1463697849494616,1
8,0,Accuracy,set(),0.17090069284064666,2
9,0,Hit@5,set(),0.34872979214780603,2
10,0,MDCG,set(),0.4130726013329458,2
11,0,MAP@5,set(),0.13525279185787267,2
12,0,Accuracy,set(),0.25635103926096997,3
13,0,Hit@5,set(),0.49884526558891457,3
14,0,MDCG,set(),0.49513258630063584,3
15,0,MAP@5,set(),0.2704134049168691,3
16,0,Accuracy,set(),0.40415704387990764,4
17,0,Hit@5,set(),0.5796766743648961,4
18,0,MDCG,set(),0.5987034716904485,4
19,0,MAP@5,set(),0.43325920038391175,4
20,0,Accuracy,set(),0.535796766743649,5
21,0,Hit@5,set(),0.7251732101616628,5
22,0,MDCG,set(),0.7027538657530701,5
23,0,MAP@5,set(),0.5546219369545005,5
24,0,Accuracy,{1},0.3556581986143187,0
25,0,Accuracy,{0},0.10854503464203233,1
26,0,Hit@5,{1},0.5196304849884527,0
27,0,Hit@5,{0},0.3348729792147806,1
28,0,MDCG,{1},0.5527190244711697,0
29,0,MDCG,{0},0.36752771188421035,1
30,0,MAP@5,{1},0.315913139977805,0
31,0,MAP@5,{0},0.14433300340921587,1
32,0,Accuracy,{2},0.3810623556581986,0
33,0,Accuracy,{0},0.15704387990762125,2
34,0,Hit@5,{2},0.5427251732101617,0
35,0,Hit@5,{0},0.34872979214780603,2
36,0,MDCG,{2},0.5706124866819079,0
37,0,MDCG,{0},0.4000911887439144,2
38,0,MAP@5,{2},0.31755176309448824,0
39,0,MAP@5,{0},0.13076907311318398,2
40,0,Accuracy,{3},0.41570438799076215,0
41,0,Accuracy,{0},0.24018475750577367,3
42,0,Hit@5,{3},0.5796766743648961,0
43,0,Hit@5,{0},0.48267898383371827,3
44,0,MDCG,{3},0.5974768745441018,0
45,0,MDCG,{0},0.48832419792473697,3
46,0,MAP@5,{3},0.32648720794217323,0
47,0,MAP@5,{0},0.2795585515331474,3
48,0,Accuracy,{4},0.42032332563510394,0
49,0,Accuracy,{0},0.4064665127020785,4
50,0,Hit@5,{4},0.5796766743648961,0
51,0,Hit@5,{0},0.581986143187067,4
52,0,MDCG,{4},0.601481211245987,0
53,0,MDCG,{0},0.5983165001608844,4
54,0,MAP@5,{4},0.32711956250062485,0
55,0,MAP@5,{0},0.43695160113173975,4
56,0,Accuracy,{5},0.4226327944572748,0
57,0,Accuracy,{0},0.5034642032332564,5
58,0,Hit@5,{5},0.5727482678983834,0
59,0,Hit@5,{0},0.6974595842956121,5
60,0,MDCG,{5},0.5971349715085781,0
61,0,MDCG,{0},0.681346296477954,5
62,0,MAP@5,{5},0.3303638163222458,0
63,0,MAP@5,{0},0.5431965647900983,5
64,0,Accuracy,{2},0.15935334872979215,1
65,0,Accuracy,{1},0.16166281755196305,2
66,0,Hit@5,{2},0.36027713625866054,1
67,0,Hit@5,{1},0.3441108545034642,2
68,0,MDCG,{2},0.4083253576920786,1
69,0,MDCG,{1},0.4064546379193883,2
70,0,MAP@5,{2},0.14476840326724852,1
71,0,MAP@5,{1},0.13373839017026082,2
72,0,Accuracy,{3},0.15473441108545036,1
73,0,Accuracy,{1},0.22401847575057737,3
74,0,Hit@5,{3},0.3695150115473441,1
75,0,Hit@5,{1},0.48267898383371827,3
76,0,MDCG,{3},0.40559704953811343,1
77,0,MDCG,{1},0.47997213283321427,3
78,0,MAP@5,{3},0.1435466842626196,1
79,0,MAP@5,{1},0.2695028643412015,3
80,0,Accuracy,{4},0.15242494226327943,1
81,0,Accuracy,{1},0.40877598152424943,4
82,0,Hit@5,{4},0.3695150115473441,1
83,0,Hit@5,{1},0.5889145496535797,4
84,0,MDCG,{4},0.4051566434056027,1
85,0,MDCG,{1},0.6002063009424017,4
86,0,MAP@5,{4},0.14461743798926247,1
87,0,MAP@5,{1},0.43477060276136487,4
88,0,Accuracy,{5},0.15011547344110854,1
89,0,Accuracy,{1},0.5103926096997691,5
90,0,Hit@5,{5},0.371824480369515,1
91,0,Hit@5,{1},0.7113163972286374,5
92,0,MDCG,{5},0.4015357597078902,1
93,0,MDCG,{1},0.690101736004116,5
94,0,MAP@5,{5},0.14610209651780093,1
95,0,MAP@5,{1},0.5524879277766114,5
96,0,Accuracy,{3},0.16628175519630484,2
97,0,Accuracy,{2},0.2471131639722864,3
98,0,Hit@5,{3},0.3302540415704388,2
99,0,Hit@5,{2},0.48729792147806006,3
100,0,MDCG,{3},0.4038266985646885,2
101,0,MDCG,{2},0.4899057040697386,3
102,0,MAP@5,{3},0.1258127130759925,2
103,0,MAP@5,{2},0.2770206352538916,3
104,0,Accuracy,{4},0.17551963048498845,2
105,0,Accuracy,{2},0.4110854503464203,4
106,0,Hit@5,{4},0.3348729792147806,2
107,0,Hit@5,{2},0.5866050808314087,4
108,0,MDCG,{4},0.4105739120960657,2
109,0,MDCG,{2},0.6028901413157212,4
110,0,MAP@5,{4},0.12275666596682763,2
111,0,MAP@5,{2},0.4376709356847925,4
112,0,Accuracy,{5},0.18475750577367206,2
113,0,Accuracy,{2},0.5288683602771362,5
114,0,Hit@5,{5},0.3394919168591224,2
115,0,Hit@5,{2},0.7367205542725174,5
116,0,MDCG,{5},0.41353810419119763,2
117,0,MDCG,{2},0.7002083698124493,5
118,0,MAP@5,{5},0.1237204442978115,2
119,0,MAP@5,{2},0.5571126140987573,5
120,0,Accuracy,{4},0.15473441108545036,3
121,0,Accuracy,{3},0.3741339491916859,4
122,0,Hit@5,{4},0.3279445727482679,3
123,0,Hit@5,{3},0.5704387990762124,4
124,0,MDCG,{4},0.39654200707307985,3
125,0,MDCG,{3},0.5823080365293299,4
126,0,MAP@5,{4},0.12139792847645042,3
127,0,MAP@5,{3},0.42625356168081346,4
128,0,Accuracy,{5},0.17551963048498845,3
129,0,Accuracy,{3},0.5265588914549654,5
130,0,Hit@5,{5},0.38799076212471134,3
131,0,Hit@5,{3},0.7205542725173211,5
132,0,MDCG,{5},0.4241217765990043,3
133,0,MDCG,{3},0.6985486541353607,5
134,0,MAP@5,{5},0.16608040150765324,3
135,0,MAP@5,{3},0.5522079921618027,5
136,0,Accuracy,{5},0.27713625866050806,4
137,0,Accuracy,{4},0.4457274826789838,5
138,0,Hit@5,{5},0.42494226327944573,4
139,0,Hit@5,{4},0.6674364896073903,5
140,0,MDCG,{5},0.48785703024356913,4
141,0,MDCG,{4},0.6494885546668655,5
142,0,MAP@5,{5},0.27750302430441,4
143,0,MAP@5,{4},0.5000779820641252,5
144,0,Accuracy,"{1, 2}",0.29330254041570436,0
145,0,Accuracy,"{0, 2}",0.09237875288683603,1
146,0,Accuracy,"{0, 1}",0.13856812933025403,2
147,0,Hit@5,"{1, 2}",0.48498845265588914,0
148,0,Hit@5,"{0, 2}",0.3210161662817552,1
149,0,Hit@5,"{0, 1}",0.3163972286374134,2
150,0,MDCG,"{1, 2}",0.5135805051669171,0
151,0,MDCG,"{0, 2}",0.35594060810417927,1
152,0,MDCG,"{0, 1}",0.3864046662598789,2
153,0,MAP@5,"{1, 2}",0.31945432550513375,0
154,0,MAP@5,"{0, 2}",0.13935764774101955,1
155,0,MAP@5,"{0, 1}",0.1272091418973636,2
156,0,Accuracy,"{1, 3}",0.3695150115473441,0
157,0,Accuracy,"{0, 3}",0.10854503464203233,1
158,0,Accuracy,"{0, 1}",0.23787528868360278,3
159,0,Hit@5,"{1, 3}",0.5450346420323325,0
160,0,Hit@5,"{0, 3}",0.3348729792147806,1
161,0,Hit@5,"{0, 1}",0.46420323325635104,3
162,0,MDCG,"{1, 3}",0.5676896444239556,0
163,0,MDCG,"{0, 3}",0.3683751564814288,1
164,0,MDCG,"{0, 1}",0.4814977829633737,3
165,0,MAP@5,"{1, 3}",0.3416802135508832,0
166,0,MAP@5,"{0, 3}",0.13867880387510872,1
167,0,MAP@5,"{0, 1}",0.27424577347210144,3
168,0,Accuracy,"{1, 4}",0.3533487297921478,0
169,0,Accuracy,"{0, 4}",0.09699769053117784,1
170,0,Accuracy,"{0, 1}",0.41570438799076215,4
171,0,Hit@5,"{1, 4}",0.5381062355658198,0
172,0,Hit@5,"{0, 4}",0.3302540415704388,1
173,0,Hit@5,"{0, 1}",0.5750577367205543,4
