,fold,metric,missing,value,y
0,0,permutations,set(),0.7759815242494227,"{0, 1}"
1,0,permutations,set(),0.8799076212471132,"{0, 2}"
2,0,permutations,set(),0.9330254041570438,"{0, 3}"
3,0,permutations,set(),0.9676674364896074,"{0, 4}"
4,0,permutations,set(),0.9745958429561201,"{0, 5}"
5,0,permutations,set(),0.7528868360277137,"{1, 2}"
6,0,permutations,set(),0.9030023094688222,"{1, 3}"
7,0,permutations,set(),0.9491916859122402,"{1, 4}"
8,0,permutations,set(),0.976905311778291,"{1, 5}"
9,0,permutations,set(),0.7782909930715936,"{2, 3}"
10,0,permutations,set(),0.9214780600461894,"{2, 4}"
11,0,permutations,set(),0.9491916859122402,"{2, 5}"
12,0,permutations,set(),0.8660508083140878,"{3, 4}"
13,0,permutations,set(),0.9399538106235565,"{3, 5}"
14,0,permutations,set(),0.8891454965357968,"{4, 5}"
15,0,permutations,set(),0.657428791377983,"{0, 1, 2}"
16,0,permutations,set(),0.7675134719014627,"{0, 1, 3}"
17,0,permutations,set(),0.8090839107005389,"{0, 1, 4}"
18,0,permutations,set(),0.8160123171670516,"{0, 1, 5}"
19,0,permutations,set(),0.7598152424942263,"{0, 2, 3}"
20,0,permutations,set(),0.8606620477290223,"{0, 2, 4}"
21,0,permutations,set(),0.8752886836027713,"{0, 2, 5}"
22,0,permutations,set(),0.8552732871439569,"{0, 3, 4}"
23,0,permutations,set(),0.9076212471131639,"{0, 3, 5}"
24,0,permutations,set(),0.8929946112394149,"{0, 4, 5}"
25,0,permutations,set(),0.6751347190146266,"{1, 2, 3}"
26,0,permutations,set(),0.7798306389530408,"{1, 2, 4}"
27,0,permutations,set(),0.7990762124711316,"{1, 2, 5}"
28,0,permutations,set(),0.8314087759815243,"{1, 3, 4}"
29,0,permutations,set(),0.8899153194765204,"{1, 3, 5}"
30,0,permutations,set(),0.8775981524249422,"{1, 4, 5}"
31,0,permutations,set(),0.7451886066204773,"{2, 3, 4}"
32,0,permutations,set(),0.8044649730561971,"{2, 3, 5}"
33,0,permutations,set(),0.867590454195535,"{2, 4, 5}"
34,0,permutations,set(),0.8144726712856043,"{3, 4, 5}"
35,0,permutations,set(),0.621824480369515,"{0, 1, 2, 3}"
36,0,permutations,set(),0.6876443418013857,"{0, 1, 2, 4}"
37,0,permutations,set(),0.7090069284064665,"{0, 1, 2, 5}"
38,0,permutations,set(),0.7471131639722863,"{0, 1, 3, 4}"
39,0,permutations,set(),0.7829099307159353,"{0, 1, 3, 5}"
40,0,permutations,set(),0.7806004618937644,"{0, 1, 4, 5}"
41,0,permutations,set(),0.7407621247113164,"{0, 2, 3, 4}"
42,0,permutations,set(),0.773094688221709,"{0, 2, 3, 5}"
43,0,permutations,set(),0.8331408775981525,"{0, 2, 4, 5}"
44,0,permutations,set(),0.8181293302540416,"{0, 3, 4, 5}"
45,0,permutations,set(),0.6749422632794457,"{1, 2, 3, 4}"
46,0,permutations,set(),0.7095842956120092,"{1, 2, 3, 5}"
47,0,permutations,set(),0.7707852193995381,"{1, 2, 4, 5}"
48,0,permutations,set(),0.8054272517321016,"{1, 3, 4, 5}"
49,0,permutations,set(),0.7355658198614319,"{2, 3, 4, 5}"
50,0,permutations,set(),0.6254041570438799,"{0, 1, 2, 3, 4}"
