,fold,metric,missing,value,y
0,0,Accuracy,set(),0.39260969976905313,0
1,0,Hit@5,set(),0.5496535796766744,0
2,0,MDCG,set(),0.5712581106776664,0
3,0,MAP@5,set(),0.21214500664847083,0
4,0,Accuracy,set(),0.14318706697459585,1
5,0,Hit@5,set(),0.3071593533487298,1
6,0,MDCG,set(),0.37614563169642096,1
7,0,MAP@5,set(),0.12421777991062054,1
8,0,Accuracy,set(),0.15242494226327943,2
9,0,Hit@5,set(),0.3140877598152425,2
10,0,MDCG,set(),0.38470333899660925,2
11,0,MAP@5,set(),0.12702993311538346,2
12,0,Accuracy,set(),0.2817551963048499,3
13,0,Hit@5,set(),0.45727482678983833,3
14,0,MDCG,set(),0.49082106538090586,3
15,0,MAP@5,set(),0.2687877788108735,3
16,0,Accuracy,set(),0.40415704387990764,4
17,0,Hit@5,set(),0.5658198614318707,4
18,0,MDCG,set(),0.5859181048679549,4
19,0,MAP@5,set(),0.4047109164892075,4
20,0,Accuracy,set(),0.5219399538106235,5
21,0,Hit@5,set(),0.6974595842956121,5
22,0,MDCG,set(),0.6820357193288972,5
23,0,MAP@5,set(),0.5595810463593373,5
24,0,Accuracy,{1},0.279445727482679,0
25,0,Accuracy,{0},0.12702078521939955,1
26,0,Hit@5,{1},0.4896073903002309,0
27,0,Hit@5,{0},0.24942263279445728,1
28,0,MDCG,{1},0.5032306808340598,0
29,0,MDCG,{0},0.3454526009226826,1
30,0,MAP@5,{1},0.21155364266218768,0
31,0,MAP@5,{0},0.12123141677414194,1
32,0,Accuracy,{2},0.3371824480369515,0
33,0,Accuracy,{0},0.11778290993071594,2
34,0,Hit@5,{2},0.5242494226327945,0
35,0,Hit@5,{0},0.302540415704388,2
36,0,MDCG,{2},0.5423776682762357,0
37,0,MDCG,{0},0.359786836846158,2
38,0,MAP@5,{2},0.2185777771112644,0
39,0,MAP@5,{0},0.12945187606850422,2
40,0,Accuracy,{3},0.3464203233256351,0
41,0,Accuracy,{0},0.27251732101616627,3
42,0,Hit@5,{3},0.5381062355658198,0
43,0,Hit@5,{0},0.44803695150115475,3
44,0,MDCG,{3},0.5477234758853587,0
45,0,MDCG,{0},0.4839282869665321,3
46,0,MAP@5,{3},0.20454250522379847,0
47,0,MAP@5,{0},0.2876816832128611,3
48,0,Accuracy,{4},0.3787528868360277,0
49,0,Accuracy,{0},0.4064665127020785,4
50,0,Hit@5,{4},0.5311778290993071,0
51,0,Hit@5,{0},0.5542725173210161,4
52,0,MDCG,{4},0.563281492889079,0
53,0,MDCG,{0},0.5876142664196191,4
54,0,MAP@5,{4},0.1976608380072583,0
55,0,MAP@5,{0},0.4027010287633844,4
56,0,Accuracy,{5},0.3672055427251732,0
57,0,Accuracy,{0},0.5150115473441108,5
58,0,Hit@5,{5},0.5496535796766744,0
59,0,Hit@5,{0},0.7182448036951501,5
60,0,MDCG,{5},0.5654116953913378,0
61,0,MDCG,{0},0.6785307867584287,5
62,0,MAP@5,{5},0.21204078062045725,0
63,0,MAP@5,{0},0.5641564940063786,5
64,0,Accuracy,{2},0.13394919168591224,1
65,0,Accuracy,{1},0.09468822170900693,2
66,0,Hit@5,{2},0.23556581986143188,1
67,0,Hit@5,{1},0.25635103926096997,2
68,0,MDCG,{2},0.3420202991963252,1
69,0,MDCG,{1},0.3400457639567458,2
70,0,MAP@5,{2},0.11760550073483099,1
71,0,MAP@5,{1},0.1217901382681983,2
72,0,Accuracy,{3},0.14549653579676675,1
73,0,Accuracy,{1},0.26558891454965355,3
74,0,Hit@5,{3},0.2979214780600462,1
75,0,Hit@5,{1},0.4618937644341801,3
76,0,MDCG,{3},0.36768430819051,1
77,0,MDCG,{1},0.48748963206814017,3
78,0,MAP@5,{3},0.129017825900043,1
79,0,MAP@5,{1},0.286670565769873,3
80,0,Accuracy,{4},0.15011547344110854,1
81,0,Accuracy,{1},0.4226327944572748,4
82,0,Hit@5,{4},0.3117782909930716,1
83,0,Hit@5,{1},0.5889145496535797,4
84,0,MDCG,{4},0.3770095256848953,1
85,0,MDCG,{1},0.5963418497731973,4
86,0,MAP@5,{4},0.13020185357367806,1
87,0,MAP@5,{1},0.4123231656718955,4
88,0,Accuracy,{5},0.16859122401847576,1
89,0,Accuracy,{1},0.5381062355658198,5
90,0,Hit@5,{5},0.2956120092378753,1
91,0,Hit@5,{1},0.7159353348729792,5
92,0,MDCG,{5},0.3864317508268717,1
93,0,MDCG,{1},0.69432202415957,5
94,0,MAP@5,{5},0.1307272327364706,1
95,0,MAP@5,{1},0.5614833588274697,5
96,0,Accuracy,{3},0.10854503464203233,2
97,0,Accuracy,{2},0.22863741339491916,3
98,0,Hit@5,{3},0.27713625866050806,2
99,0,Hit@5,{2},0.418013856812933,3
100,0,MDCG,{3},0.35051388083804347,2
101,0,MDCG,{2},0.45362674097187594,3
102,0,MAP@5,{3},0.1182592003839117,2
103,0,MAP@5,{2},0.26831938654109555,3
104,0,Accuracy,{4},0.16628175519630484,2
105,0,Accuracy,{2},0.3972286374133949,4
106,0,Hit@5,{4},0.3071593533487298,2
107,0,Hit@5,{2},0.558891454965358,4
108,0,MDCG,{4},0.38987694503504877,2
109,0,MDCG,{2},0.5779244242721335,4
110,0,MAP@5,{4},0.12109854733411314,2
111,0,MAP@5,{2},0.4109854233526289,4
112,0,Accuracy,{5},0.14087759815242495,2
113,0,Accuracy,{2},0.5265588914549654,5
114,0,Hit@5,{5},0.3187066974595843,2
115,0,Hit@5,{2},0.6928406466512702,5
116,0,MDCG,{5},0.3828445996571404,2
117,0,MDCG,{2},0.686772290711417,5
118,0,MAP@5,{5},0.1274233426311948,2
119,0,MAP@5,{2},0.5570326324945263,5
120,0,Accuracy,{4},0.18475750577367206,3
121,0,Accuracy,{3},0.3833718244803695,4
122,0,Hit@5,{4},0.4018475750577367,3
123,0,Hit@5,{3},0.5427251732101617,4
124,0,MDCG,{4},0.42363692132316727,3
125,0,MDCG,{3},0.5646384260239434,4
126,0,MAP@5,{4},0.22757425792067826,3
127,0,MAP@5,{3},0.40562160703038297,4
128,0,Accuracy,{5},0.2586605080831409,3
129,0,Accuracy,{3},0.5219399538106235,5
130,0,Hit@5,{5},0.4503464203233256,3
131,0,Hit@5,{3},0.7136258660508084,5
132,0,MDCG,{5},0.47494295508798906,3
133,0,MDCG,{3},0.6880415008121584,5
134,0,MAP@5,{5},0.262976615378463,3
135,0,MAP@5,{3},0.5595150615358467,5
136,0,Accuracy,{5},0.3279445727482679,4
137,0,Accuracy,{4},0.418013856812933,5
138,0,Hit@5,{5},0.48267898383371827,4
139,0,Hit@5,{4},0.6628175519630485,5
140,0,MDCG,{5},0.5213575826936516,4
141,0,MDCG,{4},0.627300557861428,5
142,0,MAP@5,{5},0.34155669196084903,4
143,0,MAP@5,{4},0.5440088779580696,5
144,0,Accuracy,"{1, 2}",0.2586605080831409,0
145,0,Accuracy,"{0, 2}",0.09006928406466513,1
146,0,Accuracy,"{0, 1}",0.09237875288683603,2
147,0,Hit@5,"{1, 2}",0.4665127020785219,0
148,0,Hit@5,"{0, 2}",0.21247113163972287,1
149,0,Hit@5,"{0, 1}",0.21709006928406466,2
150,0,MDCG,"{1, 2}",0.481914530163533,0
151,0,MDCG,"{0, 2}",0.3091218757546218,1
152,0,MDCG,"{0, 1}",0.3246184448211452,2
153,0,MAP@5,"{1, 2}",0.2323356128090539,0
154,0,MAP@5,"{0, 2}",0.10541855373264147,1
155,0,MAP@5,"{0, 1}",0.1239686372134409,2
156,0,Accuracy,"{1, 3}",0.24942263279445728,0
157,0,Accuracy,"{0, 3}",0.10854503464203233,1
158,0,Accuracy,"{0, 1}",0.2817551963048499,3
159,0,Hit@5,"{1, 3}",0.45958429561200925,0
160,0,Hit@5,"{0, 3}",0.23787528868360278,1
161,0,Hit@5,"{0, 1}",0.43187066974595845,3
162,0,MDCG,"{1, 3}",0.47921292290938217,0
163,0,MDCG,"{0, 3}",0.3299725921287777,1
164,0,MDCG,"{0, 1}",0.48656748864663923,3
165,0,MAP@5,"{1, 3}",0.20726362936524598,0
166,0,MAP@5,"{0, 3}",0.12092468732191594,1
167,0,MAP@5,"{0, 1}",0.29027583655759176,3
168,0,Accuracy,"{1, 4}",0.27713625866050806,0
169,0,Accuracy,"{0, 4}",0.12471131639722864,1
170,0,Accuracy,"{0, 1}",0.40877598152424943,4
171,0,Hit@5,"{1, 4}",0.4896073903002309,0
172,0,Hit@5,"{0, 4}",0.2632794457274827,1
173,0,Hit@5,"{0, 1}",0.5727482678983834,4
174,0,MDCG,"{1, 4}",0.4993908307569592,0
175,0,MDCG,"{0, 4}",0.3441762689254041,1
176,0,MDCG,"{0, 1}",0.5883563479826601,4
177,0,MAP@5,"{1, 4}",0.20677149255671193,0
178,0,MAP@5,"{0, 4}",0.12402182498025453,1
179,0,MAP@5,"{0, 1}",0.40849364646131386,4
180,0,Accuracy,"{1, 5}",0.2678983833718245,0
181,0,Accuracy,"{0, 5}",0.11085450346420324,1
182,0,Accuracy,"{0, 1}",0.5103926096997691,5
183,0,Hit@5,"{1, 5}",0.49653579676674364,0
184,0,Hit@5,"{0, 5}",0.2471131639722864,1
185,0,Hit@5,"{0, 1}",0.7090069284064665,5
186,0,MDCG,"{1, 5}",0.49804200796037557,0
187,0,MDCG,"{0, 5}",0.3363467997013456,1
188,0,MDCG,"{0, 1}",0.6787861054384623,5
189,0,MAP@5,"{1, 5}",0.21836232666486707,0
190,0,MAP@5,"{0, 5}",0.125159263369425,1
191,0,MAP@5,"{0, 1}",0.5630719934415085,5
